Antibody_ID	FullyValidated	184A1	184B5	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF10A	MCF10F	MCF12A	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	T47D	UACC812	ZR7530	ZR75B
BAD	No	-0.357708659	1.03756611	1.02221059	0.096773698	-0.871333194	2.178376884	0.388126219	-0.218001963	-0.469268091	-0.414707659	0.132884668	1.38320232	0.6373958	-0.941484811	0.403777818	-0.388294262	-0.695012029	0.801710624	0.560743819	0.079049137	-0.386567162	-0.844251873	-0.174289119	0.019114199	0.203272839	-0.833152319	-0.974323111	-0.011302377	0.139285043	0.103292256	0.476939791	0.399176733	0.296257546	0.849204188	-0.85852241	0.058434099	-0.48198788	0.232615407	0.690532529	-0.048956256	0.47296344	-0.043776255
BCL2	Yes	-1.120051938	-0.505631562	-0.21705577	0.056136906	-0.187086643	1.26682423	-1.647100077	0.98870345	-0.088999967	-0.230466298	-0.344022572	-1.035724465	2.108943752	-0.120992344	-0.833952565	-0.135352184	-0.606039093	-0.252145881	0.015047467	0.536096161	0.448107723	-0.330426412	-0.534900269	-0.451015325	0.638857191	-0.19254276	-0.486946499	1.516290919	-0.319554896	-0.327497635	0.193136691	-0.261167964	-0.118218994	1.021309438	-0.358106512	-0.708927709	-0.084257288	-0.629019788	-0.281966697	-1.089666661	0.592588204	1.914861154
BRCA1	No	-0.113756349	0.174860199	0.956380227	-0.225973714	0.222133102	0.114120573	-0.633515803	-0.238264091	0.243805873	0.011087323	-1.095667172	-1.203860841	0.39420893	1.188400832	0.92893365	-1.080533735	-0.04434854	-0.453547234	1.122216198	-0.396622926	-0.285954388	0.880803265	-1.350868651	0.34529418	0.072274638	0.209656619	-0.266320516	-0.203739057	-1.064801051	0.600094304	0.320909708	0.067586364	-0.688840345	-0.073830018	-1.003055492	-1.339021854	1.089937514	-0.296069225	0.328704775	-0.219386164	-1.305242888	0.445659181
CAV1	Yes	8.211049616	5.547654268	-4.182662156	-3.491093118	1.4496853	-4.907177334	-3.485499233	3.753521065	-4.378762071	4.617249674	4.871261897	-3.411958592	-3.846943623	-4.259431863	5.395023058	3.978205938	0.275584265	-4.059872737	-2.261718253	0.180038469	4.758437881	0.175519682	4.809243105	-1.782471504	4.994474791	4.969953761	4.502805321	-4.687901028	3.014030926	5.287594082	-4.056217215	-3.44044601	-4.113225711	-3.13960441	4.946362677	5.057353986	4.889314208	-3.507598744	-4.348366792	-4.64320696	-3.976162193	-4.449998528
CCNB1	Yes	-0.664628654	0.695305916	0.305393579	-1.098795672	1.171072892	-1.02283763	-0.989826026	0.875926678	-0.257938733	-0.489422251	-1.439742679	-1.467660251	-1.838127477	1.948066128	0.907706041	0.208176092	1.25635809	-1.368922342	-0.079007131	-0.565078191	-0.686030767	0.149182411	-0.611308217	0.661641281	1.230508546	1.634901914	1.604613797	-0.023972777	-1.988875817	1.390863244	-1.343314628	-1.26712148	-0.025768346	-0.489696731	-0.040080425	0.184106932	2.425507925	-1.090894754	-0.822009006	-0.280047977	-2.015935998	0.403321226
CCND1	Yes	0.02312927	-1.098524036	1.150631985	-0.540840533	-0.817082039	0.50037696	1.209290092	-1.185323497	0.494545914	2.491958193	0.672309325	1.256753726	-0.289716301	-2.794881921	-0.059718392	1.312735357	2.266303284	-1.848758917	0.569941358	-1.175435013	-0.919559901	-0.595546423	-0.178633865	1.153596195	-1.151090222	0.059318965	0.168552514	1.444458857	-0.784476714	0.839611005	0.734444553	2.485293153	1.733992662	0.116028389	-1.82670931	-1.761724275	-0.363891828	-0.365034492	-0.748368113	-0.008590386	1.421676707	2.478749796
CCNE2	No	-0.319100096	0.134979014	0.333293599	-0.540836362	0.02126784	0.338280083	-0.08577462	-0.126489978	0.014659359	0.065428193	-0.021319573	0.243241127	-0.285901412	-0.195437658	0.037956733	-0.161021953	0.435783505	-0.198286153	-0.279859193	-0.614242276	-0.085584549	0.395920489	-0.32128404	0.894814203	-0.28701949	0.537745774	0.297917433	0.641462485	-0.205590605	-0.164729786	0.502595724	0.632606135	0.419974708	-0.19639029	-0.272212991	0.292358152	-0.405922016	-0.031468027	0.00540085	-0.185787408	0.407834083	0.09192464
PECAM1	Yes	-0.360976179	-0.0516243	0.183688781	0.435408021	-0.605499037	0.612892636	0.064684937	-0.840839495	1.185507487	-0.672223267	-0.724796707	0.526823783	0.366371418	0.216114661	0.10244213	0.984421014	-0.047542128	0.713311992	-0.503826684	0.169906779	-0.231117346	-0.751838636	0.087285673	0.176935133	-1.288072471	-0.59342504	0.277692433	-0.167855453	0.189338328	-0.027569261	-0.237235036	0.497139652	0.449243039	1.328559444	-0.374385152	-0.174292276	-0.55400585	1.006186783	0.022259938	-0.876404981	0.413539748	-1.162644315
CDK2	No	-0.654162241	0.040368229	0.073043538	-0.044922498	-0.097959342	0.165946615	0.245335733	-0.62127145	0.572472527	-0.041990517	-0.443582585	0.244626632	0.141823619	-0.214003339	0.237098562	0.432143828	-0.365413869	0.276007704	0.918574122	0.510123418	-0.078370235	0.010789156	-0.184372125	0.583984815	-0.196013843	-0.083691685	-0.446905005	-0.152794268	0.222737305	0.18870019	0.112342481	0.113816431	0.229346118	0.128327128	-0.747560306	0.297947106	-0.556170735	-0.184729243	0.274425408	-0.079520373	-0.344553965	0.129635777
CDK4	No	-1.079046019	-0.278436313	-0.070338106	-0.611738306	-0.225457755	0.314508774	-0.436549237	1.264956427	0.198168996	-0.249120899	0.116511719	-0.269670963	0.440897995	1.097531993	0.558655399	0.200736109	0.546022288	-0.135134764	-0.047602832	0.448580702	-0.245606244	0.221825731	-1.098396767	0.77265695	-1.11615221	-0.373605697	-0.460436289	0.988163994	-1.112878759	0.399637893	0.463178999	0.447639191	0.985006862	0.342078068	-1.324971618	0.495861408	0.41386948	-1.4548668	0.390318018	0.453409966	-0.41243965	0.290076794
JUN	Yes	0.782828472	1.865643906	0.45947823	-0.665183282	0.220187715	-2.136734879	-0.847732811	2.758834894	-1.366412483	1.651243624	1.710340963	-2.322562775	-1.877651922	-1.280174833	0.092942337	1.046246239	0.471945348	-1.452416597	-0.490547959	1.377674495	-2.112941689	-0.113311369	3.947877138	-1.465714112	0.307251893	-1.448014219	1.323002276	-2.107832517	1.816597026	2.536858031	-2.389858594	-1.16171341	-2.141593765	-0.45486672	2.163736735	-0.170219651	1.871038556	-0.421325493	0.617895919	-0.907463416	-1.931872068	-2.292729177
JUN-p73	No	-0.221577718	0.303115192	0.182337725	-0.389022904	-0.273428003	-0.769724975	-0.088017813	0.482021463	0.20643808	0.464752674	0.508024804	0.066972139	-1.989979737	0.113207691	-0.251490357	1.091364028	0.171948331	-0.157926279	0.003769662	0.687503083	-1.120154545	-0.269062042	1.600941419	-0.596011607	-0.542508057	-0.859322278	0.652239133	-0.979933695	1.326283238	1.601104045	-0.627201475	-0.884300343	-0.700701425	0.648208024	0.056884779	0.327139296	0.666776403	-0.012890044	0.003684392	-0.298247993	-0.511026363	-0.6763214
KIT	No	-0.974303856	-0.227808187	0.034524958	-0.383655108	0.1083097	-0.287286386	-0.125369434	-0.67157823	-0.263506425	1.732476728	-0.415877284	-1.084890888	-1.239194182	-0.323569539	0.097801985	0.108751021	-0.747042719	-0.528339517	0.070478028	0.534278598	-0.585040465	0.559298424	-1.0296169	-0.97311191	0.532638412	0.263073842	0.475601742	-0.553121907	3.841959265	-0.68141019	-0.437760045	0.590178358	-0.769388257	0.428339017	-0.453883548	-0.340157797	-0.457300379	-0.174685205	-0.371819942	-0.601444349	-0.380883778	-0.344256359
CASP7	Yes	-0.515511249	-0.198817005	-0.143525018	0.630909364	0.031591623	0.021653713	-0.018369395	0.104364517	0.46796681	-0.430040606	-0.461653996	0.403399946	-0.348746152	-0.341280422	-0.404637769	-0.170483839	0.004407329	0.307113303	0.195072595	0.016527559	-0.254830045	0.560780682	0.242481766	-0.374273905	0.658002749	0.568865967	-0.005929331	-0.293958323	0.031901716	-0.371558003	0.262372482	0.438911557	0.07730915	0.58826388	-0.524133248	-0.178554069	-0.035061607	-0.031746794	-0.069914962	-0.663350571	0.25420085	0.290415239
PARP1	No	0.84128675	0.869186267	-0.198767841	-0.41492516	0.854290423	-0.15948424	-0.486611909	-0.30016568	-0.340512493	0.566300198	0.683433307	-0.465225371	-0.507603566	0.393581089	-0.502165697	0.287316805	0.132366592	-0.85236347	-0.599514202	0.299590962	-0.161709533	0.189218142	-0.372736001	-0.112797759	-0.19292869	0.329617264	-0.459856649	-0.087275341	-0.492839718	0.054747535	0.594146047	0.770835121	-1.047296734	0.361998014	1.577031954	1.136810797	0.012547293	0.07362447	-0.714154611	0.216024869	-0.198651628	-0.207093694
MYC	No	-1.694738467	0.454999862	-0.72110012	0.79821519	-0.298598211	-0.994491944	-1.00861482	-0.116123089	-0.831203244	-0.291631863	1.078790961	-1.678925318	-1.363454684	1.004297779	1.855826077	0.965071431	-0.388487407	-1.209561443	0.340974672	0.571865503	-0.975606407	-0.178896041	-0.130325706	-0.551491729	1.528066175	-0.007373831	1.577876876	-0.395437441	-0.012273918	1.189162552	-1.24713434	-0.859895387	-0.809923019	0.843472748	-0.410582293	1.443372833	1.387973931	-0.910349306	-0.305834005	-1.017638659	-1.203007704	-0.07643852
COL5	No	-2.553924738	-1.938749915	-0.582303203	-2.093534885	0.703789344	-2.115317432	1.251436762	6.825702433	2.468402748	-0.614332871	4.582241257	-1.431908109	-1.711459084	-0.999050531	1.141310229	1.441941372	3.113418135	-1.242535691	2.335142023	0.390550497	3.25686364	-1.128164129	4.564630405	-1.232498606	-1.880478187	-2.084999723	0.703109288	-1.000669034	4.928281459	-1.078760819	-0.803171969	0.488458134	-1.699519939	-0.706594173	0.828643848	0.36525664	4.0231156	-0.604856285	-1.453276064	-1.691397955	-1.439067526	-1.469179235
COL6A1	Yes	0.75516427	0.478436921	-0.080455436	-0.797179185	-0.101565495	-0.155514179	-0.104967886	-0.82568697	-0.253249178	0.014045345	0.929689988	-0.437535081	0.249041964	0.219677771	0.596183095	-0.034830896	-0.146080527	0.207732162	-0.498797632	-0.338920184	0.67999694	0.308412296	1.406452662	0.052445383	-0.534014056	-0.459966682	-0.009218146	-0.24577343	2.464598441	-1.127202664	0.014875542	0.004636436	-0.202510834	0.049122031	-0.07833425	0.668079989	-0.243740773	-0.156358203	-0.088062808	-0.679908162	-0.021197911	-0.292473142
CDH1	Yes	1.680507608	0.620213818	1.923737899	-2.062738614	0.990431125	1.22741811	1.253144392	-3.07642443	0.301518878	0.683947563	-2.960381641	0.834998014	1.846431189	1.179766571	1.140585959	2.153947951	1.708037049	2.169674099	-0.516896342	-0.638031847	-2.872399529	1.530975391	-2.232036637	1.312279921	-0.837554116	0.745556044	0.311440815	0.854742598	-1.441981232	-1.518950328	1.824197223	2.677779234	-1.917973492	-1.793927812	-2.042588729	2.161256847	-3.240180226	2.767746174	1.291598455	0.804391907	-1.786737465	0.683317298
EGFR	Yes	1.107700395	1.064593504	-0.381058062	-0.45073704	2.190881663	1.522635726	-1.282948646	-0.114655257	-0.85645971	0.049423179	-0.182851681	-0.728960318	-1.539739886	-0.758615405	0.597663232	0.010103201	0.838819051	0.216841273	-0.299842506	-0.94443566	-0.207068562	0.709343968	-0.185063476	-0.295697545	0.114683834	0.46417841	0.359371489	-0.93998773	-0.679183468	0.283571637	0.065117135	-0.408666849	-0.490786391	0.12056618	-1.110901082	0.648627416	-0.274421615	0.847989423	-1.018120898	-0.236636265	3.180675238	-1.255270063
EGFR-p1068	Yes	0.427873957	0.418556778	1.565843847	0.469875011	0.6599854	-1.315633053	-0.27934958	-0.556264567	-0.238311842	-0.116118223	-0.148950263	-1.687005872	1.364490585	0.518043028	-0.360743692	0.479865466	-0.245946981	-0.560296847	0.609898309	0.322923014	-0.339561435	-0.596799709	-0.474136824	-0.251708757	1.030453223	0.576502018	1.031640602	-1.035696745	-0.312703104	0.057212708	-0.240382402	-0.024609741	-0.661435723	0.835692316	0.078703614	0.579875465	0.197284196	-0.093874303	-0.062341889	-0.484748251	0.226639171	0.203213121
EGFR-p992	No	-0.117453255	-0.277563536	-0.38099452	2.910674121	0.182241799	0.603589701	-0.720503608	-1.409937904	0.014398977	-0.880695412	-0.74151119	3.144645699	-2.76E-05	-0.042912666	-0.749472623	0.547616354	0.496141449	0.501162293	0.909589299	-1.026118659	-1.451172279	-0.61976204	-0.671173563	-0.6836952	-0.271090602	-0.22098402	-0.161315129	-1.517544271	-0.855474256	-0.104983412	0.727991924	-0.383269704	0.313522513	1.739009141	-1.360956573	0.094593976	-1.795188525	2.356116145	-0.623916356	0.979512446	3.225564256	-0.984356654
ESR1	Yes	-1.847881539	-1.594534009	2.717744068	-1.35633357	-1.051670743	2.811514427	4.546618121	-1.351371761	3.797798576	-1.762410896	-1.794024286	1.545776827	5.003068853	-1.420083314	-0.533772927	-0.651504535	-1.073969283	-0.963328093	-0.485078243	-1.428984246	-1.706042174	-0.881603008	-1.452711359	4.001420887	-1.308217355	-0.958072326	-1.029601158	5.256511352	-1.398310583	-2.062532695	3.592877718	2.691880917	-1.978466163	-0.719037634	-1.428755235	-1.263267605	-2.07077304	-1.25637513	4.500790985	3.012189422	2.110707907	4.6047044
MAPK1	Yes	0.58540749	0.293825162	0.389111606	-0.396694542	-0.064672904	-0.030207427	0.511849164	-0.775128511	0.250075671	0.651176298	-0.513280745	0.086886712	-0.671272597	0.075860612	0.432857378	0.307953427	1.023986385	-0.292523774	0.535968365	0.538136857	0.827556414	0.660726708	-0.257417652	-0.389380585	-0.302918143	0.02451169	-0.616993526	-0.44386927	-0.192735889	0.008182829	0.160466098	0.347720937	0.016333592	0.256044491	-0.196224632	0.007635079	-0.293748095	0.090772777	-0.46836828	-0.1389371	0.452238191	0.337812343
GSK3A,GSKB	Yes	-0.4339858	0.141749331	0.197460038	-0.602812488	0.260238749	0.460761044	0.199118283	-0.386124898	0.478303368	-0.248728374	-0.242821618	0.806214507	0.895194975	0.074320777	-0.040479245	-0.007125248	-0.056239416	0.120176931	1.1126539	0.608462439	-0.05888245	0.107738395	-0.104106246	0.239439759	-0.318880046	-0.419912722	-0.276361574	0.112798171	-0.204172993	-0.277190502	0.108178268	0.129201772	0.397725937	0.154610692	-1.198048619	0.116662439	-0.364576689	0.351493175	-0.251131751	-0.173692374	0.311008064	0.10446187
GSK3A-p21.9,GSK3B-p21.9	Yes	0.788584863	0.645085685	-0.730799028	-0.647557751	1.398362132	0.476392957	-0.038813297	-0.307189863	1.446591038	0.611765719	-0.132736935	0.958364314	0.582231711	0.309972514	0.698716722	1.69464347	0.240994848	0.503450456	0.757893851	0.720365434	-1.336948599	0.139240624	-0.126535047	-0.103795607	-1.032052556	-1.409751502	-0.070524334	-0.71691858	0.469992728	-1.165204902	0.324121059	-0.099506612	-1.252290128	-0.652992901	-0.882198889	0.685212973	-0.515364918	0.203551874	-0.208978563	-0.767805336	-0.681941552	-0.673051986
IGF1R	Yes	0.385983599	1.314507853	1.614952245	-0.529334556	1.093953534	-0.304825675	1.724384697	0.388434762	-1.492127393	-0.149290731	-1.207961148	-0.474586484	0.255327781	1.187874873	-0.140373744	-0.828049033	-0.194047147	-0.941819583	-0.888196736	0.594245891	0.482698558	-0.096216848	-3.294760047	0.590045635	0.933320894	0.661558868	0.266021742	1.188659773	-1.448699847	0.096671036	0.852902893	-0.501346992	-1.105933241	2.824491686	-2.606286563	-0.649438538	-0.699372763	-0.601449917	0.295969086	1.273758825	-1.411841521	0.183422233
MAPK8	Yes	-0.738169717	0.875020063	0.645744299	-0.479064222	0.352395564	0.253467715	-0.84247866	-0.385440288	0.038446056	-0.511046687	0.138099262	0.271669693	0.079263547	0.296585376	-0.119166086	-0.281912037	0.117253708	-0.64472265	0.363579774	0.360809452	0.228854245	0.240883457	-0.701601542	0.345411689	0.233099426	0.400033078	-0.180560094	0.093255045	-1.067884654	0.241808208	0.037234305	-0.509321235	0.215594501	0.247266527	0.494821184	0.00268781	0.16455331	0.41757086	0.306127703	-0.557481747	0.548256992	-0.059078811
MAPK8-p183.185	Yes	-0.690101081	-0.277820874	0.188023834	0.05867814	-0.101937035	-0.324884552	0.599701841	-0.376491007	0.056994915	-0.089402049	0.218763414	-0.264066587	0.020502102	-0.023000242	-0.111654532	0.321196958	0.086095872	0.055659649	0.547200503	0.567475546	-0.215395314	0.173999905	0.150311157	0.439195551	-0.067077899	0.242680568	0.021580246	-0.140389854	0.510078815	-0.046882462	0.098861979	0.1801854	-0.05247004	0.380930373	-0.409528594	0.238540632	-0.322204959	0.151105031	-0.175154962	-0.148109446	-0.065205952	0.012054857
MAPK1,MAPK3	Yes	-0.345586753	-0.533993514	2.426545384	1.188305081	2.463094295	-1.306956932	-0.159047207	-0.678725067	-2.209607033	-1.02892453	0.217082284	1.355585293	-2.01394566	-1.505786416	-0.644462145	0.737843577	0.790959877	-1.003791916	-0.965373406	0.228923348	0.696159276	-0.921462889	0.266711872	-0.911204158	1.316599644	1.409127851	1.33958074	-2.184491922	0.696618931	3.906763255	-2.16443259	-1.395909802	-0.534239162	-0.58100144	-0.249740437	-0.526719508	-0.642885382	-0.265346492	-1.081568679	0.399734494	2.597217517	-3.032929071
MAP2K1	Yes	1.019063316	1.445386793	-0.704952994	-1.169640474	1.739053801	-0.818453996	-0.74146662	-0.890161626	0.240932565	0.678386353	-0.152192917	-0.555077695	-0.866322397	-1.103206445	-0.355148527	0.863592983	0.912127607	-0.401492509	-0.684035934	-1.03034919	-0.586884762	1.410572154	-1.231065574	0.208307556	0.809248466	1.112612779	0.405196788	-0.179313931	-0.895951865	0.318644539	0.488157618	-0.04696223	0.321047761	-0.89101844	0.571595985	-0.292131838	0.276080366	-0.004185388	-0.865456218	-0.165591105	-0.449576705	0.610232718
FRAP1	Yes	0.274907379	0.404225772	0.218705743	0.371604151	0.501927886	-0.7612729	0.021618755	-0.908636433	0.053997271	0.035494924	0.361241937	0.466258387	0.262832171	-0.26580039	0.67505202	0.361672287	0.453048704	0.318003558	0.699959045	-0.515765902	-0.015347906	0.537421655	-0.702573675	0.192656976	-0.532566432	-0.906433709	-0.052069216	-0.302815499	0.911263569	-0.445378612	-0.335057742	0.179398923	-0.364839924	0.129260158	-0.003340477	0.252304733	-0.323974132	0.387054402	-0.040135161	-0.260869999	0.046512466	0.094704218
FRAP1-p	No	-0.212520379	-0.349737314	0.477463057	-0.072731619	0.585081381	-0.53277231	-0.579336428	-0.286457803	0.220158491	0.183427233	0.578936626	0.280073076	0.013644049	0.308276876	0.023812374	0.755088184	0.511975586	0.599368995	1.03721169	0.124064022	-0.407551886	0.238141794	0.149915224	0.102869025	0.088653769	-0.735929341	-0.695706108	-0.484931984	0.442250269	-0.198425206	-0.326916077	0.228929966	-0.271745302	0.219077854	-0.052315571	0.184548409	0.014350652	-0.166860515	0.202867865	-0.556762134	-0.440403617	0.372674087
PIK3CA	Yes	-0.537192394	0.473069748	0.106901245	0.158029751	-0.0654903	-0.28890889	-0.251961372	-0.768145436	0.256766792	-0.292060898	0.304719361	0.079064052	0.40267392	0.050766692	0.33997469	0.033055849	-0.214902499	0.060026347	1.335021165	0.153856168	-0.236165497	0.344425789	-0.025768831	0.408782547	0.432680972	0.110543987	0.1950546	-0.385891343	-0.069371643	-0.085878781	-0.102535713	0.346182665	0.19590518	0.368722183	-0.469475001	0.003435193	-0.284532504	0.331199736	0.339038212	-0.432619219	0.314160754	-0.152606305
CDKN1A	Yes	0.264888949	0.761639931	0.125537727	-0.733042871	0.084533498	-0.076665757	0.031550168	-0.621127387	-0.794751094	-0.293088001	0.162296952	-0.174788944	0.06016062	0.113707323	0.828454433	-0.152397387	0.589875442	-0.963588599	-0.581380004	0.455188143	0.42387143	-0.083267295	-0.603787334	0.262389585	0.253516442	0.433272513	0.460128443	0.538848968	-1.042248608	0.836105513	-0.149434965	0.027701945	0.087924777	-0.731567405	-0.619990596	0.315656697	0.217853661	-0.154219379	0.046202714	-0.33460819	-0.797465062	0.908194007
CDKN1B	No	-0.264480921	-0.30422089	0.116697785	0.328440312	0.159472171	-0.316426709	-0.08949403	-0.148218416	0.362605342	-0.097312228	-0.458229667	0.473951785	0.136214855	0.097100192	-0.047674613	-0.064245159	-0.109431983	0.297135926	0.157544488	-0.311221338	-0.236937675	-0.084481535	-0.099587764	-0.13349004	1.668637437	2.097660842	1.410203744	-0.342364198	-0.388244067	0.212361073	-0.010333607	0.429831668	-0.149232936	0.384083634	-0.522197827	0.317603239	-0.639178899	-0.311341732	-0.462628661	-0.010247576	-0.337425584	-0.101760718
MAPK14	Yes	-0.589198429	0.150624352	0.260890042	-0.588564049	0.262171896	-0.826206665	1.082857209	-1.578917964	-0.116464027	-0.48888733	-0.448937954	0.492780439	1.220992168	-0.086685999	0.3724277	0.08693354	0.403091018	-0.217582008	0.778115566	0.28490645	-0.546659438	0.526589553	-0.947335312	0.264005021	-0.334742122	0.062949122	-0.163208363	-0.224479157	-0.292837586	0.541509916	0.45722487	0.748784274	0.172304084	-0.211614898	-0.043898446	0.584066626	-0.364895683	0.00371764	-0.662240641	0.468795052	0.760546169	-0.709522709
